key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,36.96714,9.041666667,3.207685,8.096296296,2.19284,2.977777778,20.242335,6.044444444,13.142865,0,0,0,18,1,469737_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.992592593,16.72059,7.007407407,6.81536,0,1,1,38,1,472268_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,6.888888889,15.811005,7.918518519,5.266495,0,2,2,20,1,469805_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,5.103703704,17.20662,8.014814815,9.42296,0,3,3,57,1,484457_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.088888889,11.22137,4.037037037,4.99632,0,4,4,5,1,469495_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2,6.870245,9,7.729105,0,5,5,71,1,485976_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,7.977777778,13.220695,9,8.226375,0,6,6,16,1,469639_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,4.037037037,6.249,7.948148148,10.82271,0,7,7,22,1,469865_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,7.051851852,12.54941,7.985185185,3.99913,0,8,8,69,1,485605_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.044444444,12.199135,7.051851852,4.999125,0,9,9,23,1,469865_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,1.97037037,5.830385,8.059259259,11.038245,0,10,10,39,1,472268_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,9,9.371795,9,2.52436,0,11,11,49,1,480419_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,8.037037037,23.04721,8.103703704,8.94137,0,12,12,14,1,469635_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,7.933333333,32.727045,6.925925926,11.530035,0,13,13,43,1,477072_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,7.066666667,76.253885,7.051851852,22.55356,0,14,14,65,1,485507_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,1,9.84324,7.007407407,5.761315,0,15,15,46,1,479904_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,1,7.29845,1.059259259,2.304315,0,16,16,58,1,484549_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,7.007407407,5.18703,8.02962963,2.129835,0,17,17,76,1,488322_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,8.022222222,7.420255,7.933333333,4.62749,0,18,18,27,1,469883_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,6.037037037,51.657715,6.918518519,20.40764,0,19,19,30,1,470408_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3.022222222,6.798715,7.103703704,1.990645,0,20,20,28,1,469909_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,5.888888889,36.02213,1,7.637055,0,21,21,55,1,484271_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,8.014814815,11.97917,5.962962963,10.099775,0,22,22,6,1,469553_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,5.97037037,48.7587,6.059259259,12.056885,0,23,23,25,1,469875_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,4.088888889,20.021825,3.948148148,8.845075,0,24,24,26,1,469883_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,1,6.83691,6.007407407,6.592985,0,25,25,50,1,481532_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,1.037037037,12.52028,5,11.18768,0,26,26,42,1,477072_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,5.103703704,11.45348,7.044444444,4.203715,0,27,27,4,1,469495_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3.962962963,8.25607,7.977777778,1.877495,0,28,28,56,1,484457_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,8,11.946125,7.088888889,5.29266,0,29,29,32,1,470901_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,7,10.807615,6.044444444,1.153875,0,30,30,37,1,472263_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3.014814815,21.04061,3.903703704,4.022695,0,31,31,24,1,469875_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.955555556,9.70995,8.940740741,2.224855,0,32,32,1,1,469431_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,1,6.45509,2.97037037,4.27036,0,33,33,51,1,481532_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.088888889,5.18676,5.97037037,6.361345,0,34,34,8,1,469558_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3.911111111,4.94688,8.074074074,4.86063,0,35,35,72,1,487696_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3.096296296,5.45346,7.014814815,3.953865,0,36,36,17,1,469639_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.940740741,12.77013,7.059259259,4.12936,0,37,37,41,1,475707_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,7.044444444,6.82797,9,5.58702,0,38,38,77,1,488322_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,7.007407407,11.466105,6.02962963,0.92742,0,39,39,52,1,481962_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,4.02962963,10.97832,7.022222222,2.69969,0,40,40,31,1,470408_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3.985185185,8.520085,6.896296296,3.482095,0,41,41,34,1,471720_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,5.103703704,20.98247,7.059259259,2.390605,0,42,42,11,1,469581_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3.985185185,9.479035,6.014814815,4.90353,0,43,43,47,1,479904_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,9,11.959055,7.081481481,6.40878,0,44,44,7,1,469553_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,6.977777778,15.6719,6.962962963,11.67018,0,45,45,45,1,479845_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.911111111,3.94542,4.977777778,3.96318,0,46,46,44,1,479845_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,1,4.58023,6.059259259,3.18947,0,47,47,59,1,484549_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,6.948148148,11.736775,6.103703704,0.99979,0,48,48,48,1,480419_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,6.955555556,18.09457,7.022222222,1.091045,0,49,49,53,1,481962_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,9,7.10366,9,2.187085,0,50,50,13,1,469614_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,8.051851852,12.147175,9,1.304205,0,51,51,19,1,469737_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,5,5.510335,6.977777778,7.994525,0,52,52,75,1,487969_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.014814815,2.987745,7.02962963,4.02046,0,53,53,70,1,485976_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3,5.39367,5.933333333,3.913895,0,54,54,62,1,484860_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,2.014814815,3.877315,5.896296296,3.0897,0,55,55,74,1,487969_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,3.940740741,6.50372,6.955555556,6.361305,0,56,56,9,1,469558_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,8.918518519,9.42629,8.955555556,1.513225,0,57,57,0,1,469431_sentence_1.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
,,,,,,8.940740741,10.70363,8.933333333,2.512575,0,58,58,3,1,469440_sentence_2.wav,J,5,No,2022-05-27_15h43.48.128,ratings_exp,2022.1.4,Win32,59.72645285
