key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,22.024,8.95,3.319,8.013333333,5.438,3.044444444,15.294,8.004444444,8.79,0,0,0,47,1,479904_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,1.08,19.249,3.008888889,7.869,0,1,1,54,1,484271_sentence_1.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,8.982222222,11.307,8.982222222,5.368,0,2,2,77,1,488322_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,7,14.969,7.995555556,8.065,0,3,3,1,1,469431_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,6.973333333,15.535,8.031111111,5.287,0,4,4,28,1,469909_sentence_1.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,3.977777778,13.044,7,5.701,0,5,5,57,1,484457_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,2.013333333,13.004,6.048888889,6.806,0,6,6,35,1,471720_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,5.96,11.53,8.004444444,6.32,0,7,7,7,1,469553_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,3,10.871,6.004444444,6.628,0,8,8,41,1,475707_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,2.04,10.401,6.022222222,4.039,0,9,9,3,1,469440_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,2.022222222,10.357,6.022222222,5.301,0,10,10,44,1,479845_sentence_1.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,7.986666667,10.467,5.986666667,8.941,0,11,11,74,1,487969_sentence_1.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,2.982222222,9.385,7,4.358,0,12,12,53,1,481962_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,2.004444444,12.395,5,4.188,0,13,13,75,1,487969_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,1.977777778,6.656,6.004444444,3.326,0,14,14,38,1,472268_sentence_1.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,3.026666667,14.948,7,7.771,0,15,15,42,1,477072_sentence_1.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,2.991111111,10.325,5.995555556,7.369,0,16,16,6,1,469553_sentence_1.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,1.026666667,8.406,3.017777778,2.095,0,17,17,58,1,484549_sentence_1.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
,,,,,,7.995555556,9.631,7.995555556,3.753,0,18,18,49,1,480419_sentence_2.wav,kristell,0,si,2022-05-27_15h39.26.773,ratings_exp,2022.1.4,MacIntel,58.82352941
